"OrganismRowID"	"OrganismCodeMaster"	"CommonNameMaster"	"OrganismCodeSTN"	"FieldNameSTN"	"OrganismCodeMWT"	"FieldNameMWT"	"OrganismSymbol"	"Active"	"CommonName"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
184	1203	"surf smelt"	112		27	"SURFSMLT"		1	"Surf Smelt"	"NA"	"NA"	"NA"	"Osmeridae"	"Hypomesus"	"pretiosis"
185	2120	"surfperch (Unid)"	45	"SURFPRCH"			"EMB"	1	"Surfperches (Unid)"	"NA"	"NA"	"NA"	"Embiotocidae"	"NA"	"NA"
186	211	"thornback"						1							
187	1007	"threadfin shad"	6	"THREADFN"	20	"TFINSHAD"		1	"Threadfin Shad"	"NA"	"NA"	"NA"	"Clupeidae"	"Dorosoma"	"petenense"
188	1565	"threespine stickleback"	20	"STICKLEB"	38	"STCKL3SP"	"STB"	1	"Three Spine Stickleback"	"NA"	"NA"	"NA"	"Gasterosteidae"	"Gasterosteus"	"aculeatus"
189	111	"thresher shark"						1							
190	2437	"tidepool sculpin"						1							
191	2876	"tidewater Goby"	12	"TIDEGOBY"			"TWG"	1	"Tidewater Goby"	"NA"	"NA"	"NA"	"Gobiidae"	"Eucyclogobius"	"newberryi"
192	2691	"topsmelt"	33	"TOPSMELT"	39	"TOPSMELT"	"TSM"	1	"Topsmelt"	"NA"	"NA"	"NA"	"Atherinopsidae"	"Atherinops"	"affinis"
193	2867	"Tridentiger spp."	98				"TRI"	1	"Tridentiger spp."	"NA"	"NA"	"NA"	"Gobiidae"	"Tridentiger"	"Tridentiger spp."
194	1570	"tubesnout"						1							
195		"tui chub"	145					1	"Tui Chub"	"NA"	"NA"	"NA"	"NA"	"Gila"	"bicolor"
196	7178	"tule perch"	46	"TULEPRCH"	40	"TULEPRCH"	"TP"	1	"Tule Perch"	"NA"	"NA"	"NA"	"Embiotocidae"	"Hysterocarpus"	"traski"
197	2329	"vermilion rockfish"						1							
198	7043	"wakasagi"	67	"WAKASAGI"	93	"WAKASAGI"	"WK"	1	"Wakasagi"	"NA"	"NA"	"NA"	"Osmeridae"	"Hypomesus"	"nipponensis"
